,time,location,operator,route,aircraft_type,aboard,fatalities,description,month,year,day,latitude,longitude
1008,13:47,"Blossburg, Pennsylvania",Mohawk Airlines,Elmira - Washington DC,BAC One Eleven 204AF,34   (passengers:30  crew:4),34   (passengers:30  crew:4),"The flight crashed after an in-flight fire destroyed the pitch control systems. Incorrect installation of a valve caused hot air to ignite hydraulic fluid. The fire resulted from engine bleed air flowing back through the malfunctioning non-return valve and an open air delivery valve, through the auxiliary power unit in a reverse direction, and exiting into the plenum chamber at temperatures sufficiently high to cause the acoustics linings to ignite.",June,1967,23,41.6795186,-77.0638567
1716,13:40,"Tau Island, American Samoa",South Pacific Island Airways,Pango Pango - Tau Island,de Havilland Canada DHC-6 Twin Otter 300,14   (passengers:11  crew:3),1   (passengers:1  crew:0),While turning from its base leg onto the final approach the fight controls suddenly collapsed and the nose of the plane pitched up. The pilot attempted to maintain control  of the aircraft by using the throttle and flap controls but it collided with a vehicle and terminal building.  A rusted elevator control cable broke. Improper maintenance  procedures. Total failure of the elevator control due to corrosion.,July,1984,21,-14.2419069,-169.464687588422
2460,16:21,"Off Point Mugu, California",Alaska Airlines,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,88   (passengers:83  crew:5),88   (passengers:83  crew:5),"The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed.",January,2000,31,32.601906,-117.025467
1251,19:23,"San Juan, Puerto Rico",American Express Leasing,"San Juan, PR - Managua, Nicaragua",Douglas DC-7CF,5   (passengers:2  crew:3),5   (passengers:2  crew:3),"The flight crashed moments after taking off after losing the No. 2 engine and losing power in the No. 3 engine.  Overloaded by 4,193 lbs.  Inadequate maintenance, inspection and previous damage to the engine during a taxing accident led to the engine failures. Baseball player Roberto Clemente, 38, killed. Clemente was on a relief mission to deliver supplies for earthquake victims in Nicaragua.",December,1972,31,18.22141715,-66.4132818505648
1242,23:20,"Elkton, Kentucky",Metro Air Systems,"Hopkinsville, KY - Lexington, KY",Beech G18S,11   (passengers:10  crew:1),11   (passengers:10  crew:1),"Improperly loaded aircraft, weight and center of gravity.",November,1972,17,36.8100425,-87.1541675
1546,11:13,"Nightmute, Alaska",Village Aviation - Air Taxi,"Bethel, AK - Tooksook, Alaska",Cessna U206,7   (passengers:6  crew:1),2   (passengers:2  crew:0),"Pilot became disoriented, crashed in snow and low visibility while en route. Pilot not qualified for type of flying. FAA had suspended his certificate.",March,1979,22,60.4794444,-164.7238889
613,18:25,"Near Nome, Alaska",Alaska Airlines,Unalakleet and Nome,Stinson AT-19,5   (passengers:4  crew:1),5   (passengers:4  crew:1),Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.,October,1956,2,,
2484,07:34,"Patna, India",Indian Airlines/Alliance Airlines,Calcutta - Patna - Lucknow - New Delhi,Boeing B-737-2A8 Advanced,58   (passengers:52  crew:6),55   (passengers:49  crew:6),"While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.",July,2000,17,25.6093239,85.1235252
1955,02:32,"Leninakan, Russia",Aeroflot,Ul'yanovsk - Leninakan,Ilyushin IL-76TD,15   (passengers:10  crew:5),15   (passengers:10  crew:5),Descended below minima and struck a mountain. Did not heed GPWS warnings. Incorrectly set altimeter.,October,1989,20,47.3079286,39.6433401
2845,04:22,"Moscow, Russia",Atran,Sightseeing,Antonov AN-12BP,9   (passengers:0  crew:9),9   (passengers:0  crew:9),"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area.",July,2007,29,55.7507178,37.6176606
73,c 06:00,"Burbank, California",Aerevias Centrales Air Service,Mexico - Burbank,Lockheed Orion,1   (passengers:0  crew:1),1   (passengers:0  crew:1),Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.,June,1934,23,34.1816482,-118.3258554
2371,08:35,"Manibagi, Myanmar",Myanmar Airways,Rangoon - Tachilek,Fokker F-27 Friendship 600,44   (passengers:40  crew:4),44   (passengers:40  crew:4),"The aircraft was on a flight from Rangoon to Tachilek when it was diverted to Heho due to poor weather conditions. After the aircraft was reported missing, wreckage was found on Payakha Mountain, near Manibagi. It was five days before officials announced that the plane had crashed as an effort was made to hide the accident. There are reports that some survived the crash, only to be tortured and  murdered by nearby villagers who thought it was a military plane.",August,1998,24,,
2524,16:30,"Gustavia, St. Barthélémy, French West Indies",Air Caraibes,St. Maarten - St. Barthélémy,de Havilland Canada DHC-6 Twin Otter,19   (passengers:17  crew:2),19   (passengers:17  crew:2),The aircraft took off from Prinses Juliana Airport at St. Maarten for a 15 minute flight to St. Jean Airport at St. Barthélémy. While attempting to land at St. Barthélémy the plane veered sharply to the left and plunged straight down crashing into a house and bursting into flames. Weather was good at the time of the accident.,March,2001,24,,
513,04:10,"Random Island, Newfoundland",Military - U.S. Air Force,Azores - Rapid City AFB,Convair RB-36H,23   (passengers:?  crew:?),23   (passengers:?  crew:?),"The aircraft, flying low over the Atlantic Ocean, was to have flown higher when it reached the coast. Tail-winds caused the aircraft to arrive earlier and the plane hit a hill in low cloud cover.",March,1953,18,48.1732312,-53.9327413
2279,08:27,"Sao Paolo, Brazil",TAM (Brazil),Sao Paulo - Rio de Janiero,Fokker 100,95   (passengers:89  crew:6),95   (passengers:89  crew:6),The aircraft crashed shortly after takeoff into a residential area striking a building. Uncommanded deployment of the thrust reverser on the right engine.,October,1996,31,-21.9549806,-49.0232348
1646,19:36,"Logan Airport,  Boston, Massachusetts",World Airways,"Newark, NJ - Boston, MA",McDonnell Douglas DC-10-30CF,212   (passengers:200  crew:12),2   (passengers:2  crew:0),"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident.",January,1982,23,42.3695269,-71.0218301
484,02:23,"Nagpur, India",Deccan Airways,Madras - Nagpur - Delhi,Douglas DC-3,16   (passengers:12  crew:4),3   (passengers:1  crew:2),"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach.",February,1952,19,21.1500964,79.0127048991187
2435,11:53,"Westerly, Rhode Island",Air Taxi - New England Airlines,"Westerly, RI - Block Island, RI",Piper PA-32-260,5   (passengers:4  crew:1),3   (passengers:2  crew:1),"After taking off, the airplane banked to the left, descended, and impacted terrain in an open field about 200 ft. beyond the departure end of the runway. The pilot's loss of control of the airplane during a turn.",September,1999,5,41.3775996,-71.8272911
2055,05:15,"Near Kafountine, Senegal",Gambcrest,Dakar - Yoff - Cap Skiring,Convair CV- 640,56   (passengers:50  crew:6),30   (passengers:26  crew:4),The aircraft crashed into trees during its approach. The crew mistook the hotel lights for runway lights. Pilot error and malfunctioning equipment. Founder of Club Med and his son convicted of involuntary manslaughter in connection with this accident.,February,1992,9,,
392,09:50,"Coolangatta, Australia",Queensland Airlines,Coolangatta - Brisbane,Lockheed 18 Lodestar,22   (passengers:19  crew:3),22   (passengers:19  crew:3),"Crashed on takeoff from Coolangatta.  After becoming airborne, the aircraft was seen to climb very steeply and stall when at a height of 300 ft., roll to the left and crash.",March,1949,10,-28.1682934,153.538753
2887,07:45,"Huntsville, Texas",PHI Air Medical,Huntsville-Houston,Bell 407,4   (passengers:1  crew:3),4   (passengers:1  crew:3),"The medical helicopter crashed into the Sam Houston National Forest while transporting a patient to a Houston hospital. The pilot's failure to identify and arrest the helicopter's descent, which resulted in its impact with terrain. Contributing to the accident was the pilot's inadvertent flight into instrument meteorological conditions, and the limited outside visual reference due to the dark night conditions, low clouds, and fog.",June,2008,8,30.7235263,-95.5507771
1396,17:58,"Anchorage, Alaska",Winship Air,"Anchorage, AK - Deadhorse, AK",Lear Jet 24A,6   (passengers:4  crew:2),6   (passengers:4  crew:2),Crashed short of the runway in fog. The pilot descended below published minimums because of low fuel.  Inadequate preflight planning. Improper IFR operation.,January,1976,3,61.1758781,-149.1107333
2455,17:54,"Niederhasli, Switzerland",Crossair,Zürich - Dresden,Saab 340B,10   (passengers:7  crew:3),10   (passengers:7  crew:3),"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive.",January,2000,10,47.4812949,8.4858049
54,c 19:30,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,7   (passengers:5  crew:2),7   (passengers:5  crew:2),Crashed into an orchard after striking power lines in heavy fog.,March,1932,19,34.0039044,-117.0619774
468,c 12:30,"Off Ialas Baeares, Spain",Societe Alpes Provence,Perpignan - Oran,Douglas DC-3,39   (passengers:36  crew:3),39   (passengers:36  crew:3),Crashed into the Mediterranean due to structural failure following loss of control in severe weather.,September,1951,12,,
2729,22:18,"Keene, New Hampshire",AirNow,"Bangor, ME - Concord, NH",Embraer EMB-110 Bandeirante,1   (passengers:0  crew:1),1   (passengers:0  crew:1),"The cargo plane diverted to Keene due to poor weather. During the final approach at night, the plane hit the ground short of Runway 02 and was destroyed.",January,2005,13,42.933597,-72.2784264
2067,14:05,"Meadview, Arizona",Adventure Airlines,"Meadview, AZ - Las Vegas, NV",Cessna 402C,10   (passengers:9  crew:1),10   (passengers:9  crew:1),Crashed after engine failure on takeoff. Pilot error. Failure of the pilot to follow emergency procedures after an engine failure during takeoff.,June,1992,19,36.0022091,-114.0682936
3141,0940,"Delhi, India",Border Security Force,Delhi - Ranchi,Beechcraft B200 Super King Air,10   (passengers:9  crew:1),10   (passengers:9  crew:1),"Shortly after taking off, the pilot indicated they wanted to return to the airport. Soon after, the aircraft impacted terrain near Delhi Indira Gandhi Airport.",December,2015,22,28.6517178,77.2219388
910,05:45,"Near Trevelez, Granada, Spain",Union des Transportes Aeriens,Palma de Mallorca - Port Etienne,Douglas DC-6B,80   (passengers:73  crew:7),80   (passengers:73  crew:7),"About an hour and a half after departing Palma de Mallorca the airliner crashed into Mt. Alcazaba, 20 miles SSE of Granada. Cause unknown.",October,1964,2,,
2093,07:52,"Near Guilin, China",China Southern Airlines,Guangzhou - Guilin,Boeing B-737-3Y0,141   (passengers:133  crew:8),141   (passengers:133  crew:8),"The aircraft crashed into a 7,000 ft. mountain, 15 miles from the airport while on apporach. Malfunction of the thrust lever which caused a loss of control of the aircraft.",November,1992,24,,
1870,22:29,"Near Broennoysund, Norway",Wideroe's Flyveselksap,Namsos - Bronnoysund,de Havilland Canada DHC-7-102,36   (passengers:33  crew:3),36   (passengers:33  crew:3),Crashed into a hillside during approach in foggy weather. The crew started the approach to 4NM too early. Navigation error. Pilot error.,May,1988,6,,
2209,16:51,"Near Leeds, England",Knight Air,Leeds - Aberdeen,Embraer 110 P1 Bandeirante,12   (passengers:9  crew:3),12   (passengers:9  crew:3),"The crew had serious problems maintaining their heading after both artificial horizons failed shortly after takeoff. The crew had difficulty controlling the aircraft in turbulent conditions and the plane went into a spiral dive and crashed into a field. One or possibly both of the aircraft's artificial horizons malfunctioned and in the absence of a standby horizon, for which there was no airworthiness requirement, there was no single instrument available for assured attitude reference or simple means of determining which flight instruments had failed. The pilot became spatially disoriented and was unable to maintain control.",May,1995,24,53.90932425,-1.66599498923283
419,21:34,"Akron, Ohio",Harrington's Inc,Philadelphia - Cleveland,Douglas DC-3,3   (passengers:0  crew:3),3   (passengers:0  crew:3),The cargo plane collided with trees short of the runway while attempting to land. The improper execution of an instrument approach which resulted in the aircraft being flown to the right of the proper approach path at an altitude too low to clear the terrain.,November,1949,4,41.083064,-81.518485
1033,10:59,"Off Wexford Harbor, Ireland",Aer Lingus,Cork - London,Vickers Viscount 803,61   (passengers:57  crew:4),61   (passengers:57  crew:4),"The aircraft was believed to have gone into a spin or spiral dive with recovery at about 12,000 ft. The dive apparently caused structural damage which resulted in the aircraft plunging into St George's Channel, 10 miles east of Carnsore Point. Possible causal factors may have been metal fatigue, corrosion, flutter (vibration) or a bird strike.",March,1968,24,,
2348,16:35,"Mombasa, Kenya",Air Memphis,"Mombasa, Kenya - Cairo, Egypt",Boeing 707-336C,6   (passengers:0  crew:6),6   (passengers:0  crew:6),"The cargo plane struck the approach lights as it took off from Runway 3, then struck a hill and disintegrated.",March,1998,10,-4.0390146,39.648390961857
2486,10:20,"Maui, Hawaii",Blue Hawaiian Helicopters,Sight seeing,Aerospatiale AS355-F1,7   (passengers:6  crew:1),7   (passengers:6  crew:1),"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather.",July,2000,21,20.8029568,-156.310683316022
2690,10:50,"Urumqi, China",AZAL Cargo Company,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,7   (passengers:0  crew:7),7   (passengers:0  crew:7),"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport.",May,2004,18,43.7959127,87.6140244
939,20:21,"Lake Michigan, near Chicago, Illinois",United Air Lines,New York City - Chicago,Boeing B-727-22,30   (passengers:24  crew:6),30   (passengers:24  crew:6),"The plane crashed into Lake Michigan 19.5 miles east of Lake Forest, Illinois during  an approach and while descending from FL 350. The aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. Officially, a cause could not be determined. The aircraft was dispatched illegally without an operating CVR. Possible misread altimeter. The crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. Possible excessive sink rate. Excessive sink rate is thought to have possibly caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.",August,1965,16,,
2913,18:40,"Mexico City, Mexico",Mexican Government,San Luis Potosi - Mexico City,Learjet 45,9   (passengers:6  crew:3),9   (passengers:6  crew:3),"Mexican Interior Minister Juan Camilo Mourino, 37, was killed when the executive jet he was flying in crashed next to a building, 4.8 kilometers from the airport where it was to land. A preliminary investigation found the jet's pilots didn't immediately follow instructions to slow down and appeared to be nearly one nautical mile too close behind a Boeing 767-300 on the same flight path to Mexico City's international airport. In addition, neither pilot had legitimate certification to fly. Wake turbulence.",November,2008,4,19.4326009,-99.1333416
1719,01:00,"Near Memphis, Tennessee",Aviation Enterprises,Memphis - Chicago,Douglas DC-3,3   (passengers:1  crew:2),3   (passengers:1  crew:2),During takeoff the crew lost the No. 1 engine. The plane struck utility poles and crashed through the roof of a building. Missing spark plug from the No. 1 engine in the No. 14 cylinder.,August,1984,11,,
1157,12:59,"Vorochilovgrad, Ukraine",Aeroflot,Kuibyshev - Lugansk,Antonov An-10,65   (passengers:57  crew:8),65   (passengers:57  crew:8),Crashed on approach resulting from structural failure of the right outer wing.,March,1971,31,,
1832,20:46,"Romulus, Michigan",Northwest Airlines,"Detroit, MI - Phoenix, AZ",McDonnell Douglas MD-82,155   (passengers:149  crew:6),154   (passengers:148  crew:6),"The aircraft stalled and crashed during takeoff from Detroit Metropolitan Wayne County Airport. After liftoff, the wings of the airplane rolled to the left and right  and then the aircraft collided with obsticales northeast of the runway when the left wing struck light poles and the roof of a rental car agency. A 4-year-old girl, Cecilia Cichan, was the only survivor. Slats and flaps not extended. Crew's failure to use taxi checklist to ensure flaps and slats were extended. Lack of electrical power to the aircraft takeoff warning system. The unit may have been turned off by pilot due to nuisance alarms.Cecelia is now married and earned a Psychology degree from the University of Alabama. Although she has made no public statements or attended annual memorial services regarding the tragic crash, she corresponds with some of the crash victims’ loved ones.",August,1987,16,42.2222614,-83.3965995
787,01:20Z,"Near Lisbon, Portugal",KLM Royal Dutch Airlines,"Rome  - Lisbon -  Madrid - Santa Maria, Azores -Caracas",McDonnell Douglas DC-8-53,61   (passengers:47  crew:14),61   (passengers:47  crew:14),"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the Atlantic Ocean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction.",May,1961,30,,
2665,08:51,"Cody, Wyoming",FedEx,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,1   (passengers:0  crew:1),1   (passengers:0  crew:1),"While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions.",October,2003,29,44.5263107,-109.0563923
2181,11:40,Papua New Guinea,Southwest Air,Selbang - Bolvovip,Britten Norman BN-2A Trislander,7   (passengers:6  crew:1),7   (passengers:6  crew:1),Crashed into a mountain in poor weather conditions.,November,1994,22,-5.6816069,144.2489081
205,01:40,North Sea,British Overseas Airways,"Stockholm, Sweden - RAF Leuchars, Scotland",Lockheed C-56B Lodestar,7   (passengers:4  crew:3),7   (passengers:4  crew:3),"Shot down  by German fighters, 30 miles from Skagen, Denmark",April,1943,4,56.74123355,2.89117171668805
2376,11:52,"Mount Cook, New Zealand",Air taxi - Air Safaris Inc.,Sightseeing,Cessna 177B Cardinal,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The aircraft hit the face of  mountain. The aircraft probably encountered a strong laminar downdraught before entering a thin cloud layer before impact. Although ample escape options were available to the pilot to turn away from the rising terrain and cloud ahead, he did not make a timely decision to do so. Why the pilot did not make a timely turn away could not be explained.",September,1998,14,-43.5950017,170.1421677
2141,01:56,"Spokane, Washington",Salair,Spokane - Portland,Douglas DC-3C,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"The cargo plane lost a right engine during takeoff. The plane tried to return to the airport but crashed. The failure of the pilot-in-command to maintain airspeed. Factors to the accident were: cylinder fatigue, dark night and stall encountered.",March,1994,18,47.5354964,-117.4074674
210,c 15:00,"Ploesti, Romania",Military - U.S. Army Air Forces,Bombing run,Consolidated B-24,10   (passengers:0  crew:10),10   (passengers:0  crew:10),Crashed into a women's prison after being hit by anti-aircraft fire while on a bombing run.,August,1943,1,,
1473,14:00,"Stevens Pass,  Washington",Kenmore Air  - Air Taxi,"Kenmore, WA - Lake Hatheume, Canada",de Havilland DHC-2,7   (passengers:6  crew:1),7   (passengers:6  crew:1),Low flight through canyon approacing mountain pass. Unable to outclimb rising terrain. Plane exceed gross takeoff weight and aft center of gravity.,October,1977,1,47.7456352,-121.0891718
430,20:59,"Minneapolis, Minnesota",Northwest Orient Airlines,Rochester Minn. - Minneapolis,Martin 202,13   (passengers:10  crew:3),13   (passengers:10  crew:3),"Crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost.",March,1950,7,44.9772995,-93.2654692
2647,10:50,"Blida, Algeria",Military - Algerian Air Force,Training,Lockheed C-130H Hercules,4   (passengers:0  crew:4),4   (passengers:0  crew:4),"The military plane crashed into houses in the Beni Mered neighborhood, west of the Algerian capital, shortly after takeoff from the Boufarik military airport, 25 miles southwest of the capital. Witnesses reported seeing an engine on fire prior to the crash.",June,2003,30,36.4701645,2.8287985
202,15:15,"Near Chaparra, Peru",Pan American Grace Airlines,"Santiago, Chili - Arequipa, Peru - Lima, Peru",Douglas DC-3A,15   (passengers:11  crew:4),14   (passengers:10  crew:4),"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.",January,1943,22,,
41,09:45,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,8   (passengers:6  crew:2),8   (passengers:6  crew:2),Crashed into hill while attempting to land after running into a strong gust of wind..,October,1930,6,51.0493286,13.7381437
1548,18:23,"Newark, New Jersey",New York Airways,"Newark, NJ - Flushing, NY",Sikorsky S61-L,18   (passengers:15  crew:3),3   (passengers:3  crew:0),Tail rotor separated in flight shortly after takeoff. The helicopter autorotated and crashed. Fatigue fracture in tail rotor.,April,1979,18,40.735657,-74.1723667
1193,13:46,"Raleigh, North Carolina",Eastern Air Lines,"Miami, FL - Raleigh, NC",Douglas DC-9-31 /Cessna 206,29   (passengers:24  crew:5),2   (passengers:1  crew:1),Midair collision.  The DC-9 descended onto the Cessna. Two killed aboard the Cessna. The DC-9 landed with no one aboard injured. Inadequacy of ATC facilities and services in the terminal area.,December,1971,4,35.7803977,-78.6390989
670,09:45,"Horwich, Lancs, England",Silver City Airways,Isle of Man - Manchester,Bristol 170 Freighter 21,42   (passengers:39  crew:3),35   (passengers:35  crew:0),Crashed into a mountain near Winter Hill during an approach. The First Officer used the wrong radio beacon (Oldham Becaon instead of on Wigan Beacon).,February,1958,27,,
3112,0230,"Aguelhok, Mali",Air Algerie,"Ouagadougou, Burkina Faso - Algiers, Algeria",Mc Donnell Douglas MD-83,116   (passengers:110  crew:6),116   (passengers:110  crew:6),Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair.,July,2014,24,19.4649,0.8549
2981,12:15,"Ahousat, British Columbia",Air Taxi - Atleo River Air Service Ltd.,Tofino - Ahousat,Cessna A185F Skywagon,4   (passengers:3  crew:1),4   (passengers:3  crew:1),"The float plane crashed into the waters near Flores Island and sank. The landing was attempted with the wheels lowered. It is most likely drunken passengers aboard the floatplane interfered with the pilot during the  flight, causing him to lose control and crash. It is possible that one of the passengers seated behind the pilot kicked the pilot's seat forward and held it there. This could have pushed the pilot into the instrument panel and the controls forward, inducing a dive.",May,2010,29,,
838,09:00,"Brno, Czechoslovakia",Ceskoslovenske Aerolinie,Bratislava - Brno,Avia 14,34   (passengers:31  crew:3),11   (passengers:8  crew:3),Crashed on approach.,September,1962,10,,
1434,17:22,"Shannon, Ireland",Aeroleasing - Air Taxi,"Shannon, Ireland - Geneva, Switzerland",Piper PA-31T,5   (passengers:4  crew:1),5   (passengers:4  crew:1),The aircraft could not maintain a positive rate of climb on takeoff and crashed.,November,1976,12,52.7111567,-8.8825488
2094,07:53,"Faro, Algarve, Portugal",Martinair Holland NV,Amsterdam - Faro,McDonnell Douglas DC-10-30CF,340   (passengers:327  crew:13),56   (passengers:54  crew:2),"While attempting a second landing in high winds, during a storm, the aircraft's wing tip hit the runway resulting in the aircraft departing the runway and causing a fuel tank to explode. The high rate of descent in the final phase of the approach and the landing made on the right landing gear which exceeded the structural limitations of the aircraft.The crosswind, which exceeded the aircrafts limits and which occurred in the final phase of the approach and during landing. The combination of both factors caused stresses which exceeded the structural limitations of the aircraft. In addition, there were four moments when the pilots should have decided to abort the landing and do a go-around. This because the runway was flooded with water, the plane had left the flight path and was unstable during landing. In addition, the pilots did not properly correct for the windshear, flew too slowly and made errors with the automatic pilot.",December,1992,21,37.0537571,-7.93193661699148
250,1115,"Near Grants, New Mexico",National Skyway Freight Co.,Alberquerque -,Budd RB-1 Conestoga,3   (passengers:0  crew:3),1   (passengers:0  crew:1),"After refueling in Alberquerque, the plane, carrying magazins to the west coast, crashed and burned after encountering snow and strong winds. The flight engineer survived.",November,1945,7,,
2345,20:09,"Taipei, Taiwan",China Airlines (Taiwan),Denpasar - Taipei,Airbus A300-622R,196   (passengers:182  crew:14),196   (passengers:182  crew:14),"The aircraft was attempting to land at Taipei's international airport in rain and fog when the crew requested a go-around. The plane crashed into a residential neighborhood, ripping the roofs off several structures, skidding into a rice paddy and bursting in flames. DFDR data showed complete autopilot disengagement just after landing clearance. This was  followed by an attempted manually flown go-around with falling airspeed and a pitch-up of 40 degrees followed by a gain of 1,000 feet in altitude, total stall and a dive resulting in impact with the ground. Pilot error.",February,1998,16,25.0375198,121.5636796
110,20:47,"Near Milford, Pennsylvania",Eastern Air Lines,"Miami, FL - Charleston, SC - Newark, NJ",Douglas DC-2-112,14   (passengers:11  crew:3),14   (passengers:11  crew:3),"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",December,1936,19,,
746,13:06,"Hickory, North Carolina",Piedmont Airlines / Private,"Cincinnati, OH - Hickory, NC",Fairchild F-27 / Cessna 310,44   (passengers:39  crew:5),4   (passengers:3  crew:1),"The aircraft were involved in a midair collision while both were making an approach to land. The pilot of the Cessna, the over-taking aircraft, failed to see and avoid the F-27 during the landing appoach. Four died aboard the Cessna, none aboard the Fairchild.",April,1960,20,35.7333312,-81.3442915
355,07:20,"Vrede, South Africa",Mercury Aviation,Durban - Johannesburg - London,Douglas DC-3-455,13   (passengers:8  crew:5),13   (passengers:8  crew:5),"Crashed into Spitzkop mountain after drifting off course in poor weather. The aircraft was named ""Miss France.""",May,1948,15,-33.4632334,20.5882355
2365,15:58,"Near Quiberon, France",Proteus Air / Private,Lyon - Lorient,Beechcraft 1900D / Cessna 177,15   (passengers:12  crew:3),15   (passengers:12  crew:3),"Midair collision. The Beechcraft was on a flight from Lyon to Lorient, approaching Lorient, when it requested permission to fly over the ocean liner Norway. While circling the Norway, it collided with the Cessna. One killed aboard the Cessna, 14 aboard the Beechcraft.  The pilots of the Beechcraft decided to deviate from their course in order to give passengers a view of the ocean liner Le France. This is unusual but not forbidden. They also descended to 2,000 feet, below the level of radar detection. Both planes approached each other within blind spots. Failure of both pilots to ""see and avoid"" each other under VFR conditions.",July,1998,30,,
